Farm_ID,Location,Collection_Date,Growth_Stage,pH,EC,P,K,Temperature,Humidity,Moisture,N,Soil_Suitability,N_Status,P_Status,K_Status,Recommended_Urea,Recommended_TSP,Recommended_MOP,Recommended_Organic
BD_HN_2024_0003,Hinnarangolla,10/17/2024,Vegetative,6.14,0.079,105.4,248.7,22.7,76.3,59.1,26.1,2,0,2,1,11,0,0,0
BD_RK_2023_0003,Rathkarawua,8/23/2023,Germination,6.66,0.102,99.5,348.5,21.9,73.3,52.8,41.1,2,1,1,2,5.5,4.5,5,600
BD_RK_2024_0004,Rathkarawua,10/2/2023,Germination,6.55,0.106,114,358.4,20.6,82.4,82.2,45.9,2,1,2,2,5.5,0,5,600
BD_BR_2024_0003,Boralanda,8/6/2023,Maturation,5.36,0.176,94.5,228.8,22.7,94.4,67.2,36.8,1,1,1,1,0,0,0,0
BD_HN_2024_0004,Hinnarangolla,5/27/2023,Tuber_Initiation,5.73,0.123,103.3,292.3,24.5,84.5,43.4,40.1,2,1,2,1,11,0,12.5,0
BD_WD_2023_0002,Welimada,7/28/2024,Tuber_Initiation,5.47,0.083,84.6,242.9,21.6,81.1,65.1,46.7,1,1,1,1,11,0,12.5,0
BD_MH_2024_0003,Mirahawatte,8/20/2024,Maturation,6.56,0.098,104.9,322.2,24.4,81.7,90,52.1,2,2,2,2,0,0,0,0
BD_RK_2023_0005,Rathkarawua,5/22/2023,Maturation,6.58,0.113,136.3,297.4,19.3,77.3,44.4,49.3,2,1,2,1,0,0,0,0
BD_BW_2023_0005,Bandarawela,4/23/2023,Vegetative,5.48,0.092,128.9,293.4,21,75.4,63.1,44.2,2,1,2,1,11,0,0,0
BD_WD_2024_0003,Welimada,9/2/2024,Germination,5.57,0.151,100.4,203.5,21.1,87.3,75.4,61.9,1,2,2,1,3,0,8,1500
BD_HN_2024_0005,Hinnarangolla,9/2/2024,Maturation,6.01,0.109,93.3,292.4,17.2,89.3,56.6,30.1,2,1,1,1,0,0,0,0
BD_ME_2024_0003,Makul_Ella,7/20/2024,Germination,6.3,0.123,106,180,21.7,86.2,40.4,41.2,2,1,2,1,5.5,0,8,1500
BD_BW_2024_0006,Bandarawela,10/18/2024,Tuber_Initiation,6.35,0.145,161.3,256.9,20.1,67.3,41.9,58.1,2,2,2,1,5.5,0,12.5,0
BD_BW_2024_0007,Bandarawela,3/21/2024,Vegetative,6.38,0.088,139.4,272.9,23.5,73,50.1,37.6,2,1,2,1,11,0,0,0
BD_UP_2023_0001,Uva_Paranagama,9/27/2023,Vegetative,6.73,0.163,88.1,174.2,25.3,68.3,49.4,37.3,1,1,1,1,11,0,0,0
BD_ME_2023_0004,Makul_Ella,10/2/2024,Tuber_Initiation,6.12,0.121,62,243.5,21.1,82.8,67.9,19,2,0,1,1,16.5,0,12.5,0
BD_ME_2023_0005,Makul_Ella,6/6/2023,Tuber_Initiation,6.41,0.135,82.1,262,16.6,80.4,47.9,40.8,2,1,1,1,11,0,12.5,0
BD_WD_2023_0004,Welimada,9/5/2024,Tuber_Initiation,5.65,0.105,105.5,257.9,22.4,79.8,59.7,41.6,2,1,2,1,11,0,12.5,0
BD_UP_2023_0002,Uva_Paranagama,4/25/2023,Tuber_Initiation,5.94,0.102,37.2,100,26.9,73.6,49.4,32.4,1,1,0,0,11,0,12.5,0
BD_OH_2023_0003,Ohiya,3/1/2023,Vegetative,6.5,0.141,104.4,305.3,12.1,93.6,68,35.6,2,1,2,2,11,0,0,0
BD_MH_2023_0004,Mirahawatte,3/29/2023,Maturation,6.09,0.122,104.7,386.5,23.4,83.5,43.3,40,2,1,2,2,0,0,0,0
BD_BW_2023_0008,Bandarawela,5/12/2023,Maturation,6.45,0.063,135.7,309.5,27.1,72,68.5,31.3,2,1,2,2,0,0,0,0
BD_ME_2023_0006,Makul_Ella,9/29/2023,Maturation,6.37,0.15,120.7,218.3,16.7,91.8,61,33.3,1,1,2,1,0,0,0,0
BD_BR_2023_0004,Boralanda,11/16/2023,Maturation,5.13,0.129,37.8,204.1,22.3,79.9,69.7,17.6,1,0,0,1,0,0,0,0
BD_RK_2024_0006,Rathkarawua,6/13/2024,Maturation,6.08,0.089,119.9,282.7,25,79.7,45.6,50.6,2,2,2,1,0,0,0,0
BD_BW_2023_0009,Bandarawela,8/19/2023,Germination,6.16,0.078,130,337.6,27.9,66.5,58.4,48.6,2,1,2,2,5.5,0,5,1000
BD_RK_2023_0007,Rathkarawua,8/25/2024,Vegetative,6.39,0.102,121.4,401,23.7,86,48.7,65.2,2,2,2,2,7,0,0,0
BD_MH_2023_0005,Mirahawatte,1/8/2023,Germination,7.08,0.072,99.8,276.4,18.6,87.5,38.9,56.3,1,2,1,1,3,4.5,8,600
BD_HP_2023_0003,Haputhale,3/11/2023,Germination,5.43,0.119,129.1,332.9,25.5,87.3,75.2,37.4,2,1,2,2,5.5,0,5,1000
BD_RK_2023_0008,Rathkarawua,6/10/2024,Vegetative,6.67,0.131,108.3,241.5,22.7,76.3,55.3,50.2,2,2,2,1,7,0,0,0
BD_OH_2024_0004,Ohiya,8/8/2023,Vegetative,5.93,0.155,78.3,253,18.2,94.2,60.1,38.1,1,1,1,1,11,0,0,0
BD_MH_2024_0006,Mirahawatte,9/6/2023,Maturation,6.02,0.086,135.6,267.3,23.4,81.1,59.8,37.1,2,1,2,1,0,0,0,0
BD_HN_2023_0006,Hinnarangolla,4/7/2023,Germination,5.5,0.242,70.9,252.1,21.4,82.1,55.5,49.8,1,1,1,1,5.5,4.5,8,1000
BD_HN_2024_0007,Hinnarangolla,3/9/2024,Maturation,5.85,0.208,109.1,272.3,17.1,78.3,49.9,33.7,1,1,2,1,0,0,0,0
BD_UP_2023_0003,Uva_Paranagama,11/20/2024,Germination,4.5,0.189,91.1,219.9,23.2,77.4,53.7,40,1,1,1,1,5.5,4.5,8,1500
BD_HP_2024_0004,Haputhale,12/14/2023,Germination,5.52,0.089,118.6,325.4,19.9,71.5,36.2,57,2,2,2,2,3,0,5,600
BD_BR_2023_0005,Boralanda,7/14/2023,Maturation,5.34,0.125,94.6,277.4,16.5,78.7,58.5,28.1,1,0,1,1,0,0,0,0
BD_WD_2024_0005,Welimada,7/7/2023,Tuber_Initiation,5.68,0.088,56.2,234.6,21.5,75.7,30,38.6,2,1,1,1,11,0,12.5,0
BD_UP_2023_0004,Uva_Paranagama,3/19/2023,Maturation,5.91,0.15,85.1,218.3,23,74.7,46.1,23.8,1,0,1,1,0,0,0,0
BD_ME_2023_0007,Makul_Ella,2/21/2023,Germination,5.09,0.128,121,322.2,23.2,83.7,45.6,46.5,2,1,2,2,5.5,0,5,1500
BD_BW_2023_0010,Bandarawela,6/20/2023,Maturation,5.81,0.04,122,371,20.2,71.4,36.4,41.9,2,1,2,2,0,0,0,0
BD_UP_2024_0005,Uva_Paranagama,8/7/2023,Maturation,4.98,0.271,28,255.9,24.3,76.7,52.7,21,0,0,0,1,0,0,0,0
BD_HP_2023_0005,Haputhale,1/24/2024,Germination,6.02,0.07,159.6,294.5,20.8,89.7,77,55.4,2,2,2,1,3,0,8,600
BD_HN_2024_0008,Hinnarangolla,4/10/2024,Tuber_Initiation,5.16,0.116,96.9,207.5,24.2,73.4,45.9,29.7,1,0,1,1,16.5,0,12.5,0
BD_HN_2024_0009,Hinnarangolla,6/8/2023,Vegetative,4.5,0.136,100.5,259.5,18.4,84,63.2,32.2,1,1,2,1,11,0,0,0
BD_OH_2023_0005,Ohiya,3/1/2023,Germination,6.06,0.167,102.5,156.5,15.4,87.6,47,32.4,1,1,2,1,5.5,0,8,1000
BD_RK_2023_0009,Rathkarawua,2/21/2023,Maturation,6.02,0.114,112.3,249,23.3,69,37.5,47.5,2,1,2,1,0,0,0,0
BD_ME_2023_0008,Makul_Ella,2/28/2023,Germination,5.48,0.111,68.5,290.3,20.8,83,62.9,49.1,1,1,1,1,5.5,4.5,8,1500
BD_WD_2023_0006,Welimada,9/1/2024,Germination,4.94,0.144,49,248.5,20.6,89.3,56.2,38.9,1,1,0,1,5.5,6.7,8,1500
BD_BR_2024_0006,Boralanda,5/3/2023,Vegetative,6.2,0.118,67.6,215.6,19.2,84.1,66,43.4,2,1,1,1,11,0,0,0
BD_MH_2023_0007,Mirahawatte,9/26/2024,Germination,6.09,0.129,143.7,300,24,79,50.1,33,2,1,2,1,5.5,0,8,600
BD_HN_2024_0010,Hinnarangolla,9/25/2023,Vegetative,6.2,0.04,73.4,281.5,24.5,83.3,58.2,29.2,2,0,1,1,11,0,0,0
BD_RK_2023_0010,Rathkarawua,9/29/2023,Maturation,5.85,0.127,110,330.4,20.2,74.2,54.2,49.5,2,1,2,2,0,0,0,0
BD_WD_2024_0007,Welimada,4/13/2024,Tuber_Initiation,6.5,0.116,54.3,243.6,22.6,76.9,61,34.5,2,1,1,1,11,0,12.5,0
BD_BW_2023_0011,Bandarawela,4/14/2024,Germination,6.71,0.073,108.9,292.9,25.6,75.9,65.9,55,2,2,2,1,3,0,8,600
BD_BW_2023_0012,Bandarawela,6/2/2024,Tuber_Initiation,5.89,0.135,88.9,238.9,24.9,65.4,74.6,49.4,2,1,1,1,11,0,12.5,0
BD_WD_2024_0008,Welimada,3/12/2023,Vegetative,7.07,0.162,97.7,250.8,19.4,87.5,70.5,56.8,1,2,1,1,7,0,0,0
BD_RK_2024_0011,Rathkarawua,6/11/2023,Maturation,5.8,0.123,116.9,312.2,21.7,84.1,54.3,43.3,2,1,2,2,0,0,0,0
BD_ME_2024_0009,Makul_Ella,9/18/2024,Germination,6.51,0.171,20,228.5,17.8,82.7,71.8,34.6,0,1,0,1,5.5,6.7,8,1000
BD_ME_2024_0010,Makul_Ella,11/10/2024,Germination,5.85,0.137,71.8,105.2,21.1,75.2,33.6,48.8,1,1,1,0,5.5,4.5,12.5,600
BD_WD_2024_0009,Welimada,4/29/2023,Germination,5.39,0.132,95.5,200,16.5,87.7,57.7,63.7,1,2,1,1,3,4.5,8,600
BD_ME_2023_0011,Makul_Ella,10/6/2023,Tuber_Initiation,6.12,0.113,75.7,211.3,16.5,88.2,46.2,63.7,2,2,1,1,5.5,0,12.5,0
BD_MH_2023_0008,Mirahawatte,12/18/2023,Vegetative,6.76,0.053,53.5,226.9,24.9,87,53.1,45.3,1,1,1,1,11,0,0,0
BD_OH_2024_0006,Ohiya,9/15/2023,Germination,5.16,0.228,56.7,184.5,17.3,80.4,46.4,42.9,1,1,1,1,5.5,4.5,8,1500
BD_BW_2024_0013,Bandarawela,10/11/2023,Germination,5.92,0.086,101.8,313.9,20.8,69.9,57.1,38.2,2,1,2,2,5.5,0,5,1000
BD_HP_2024_0006,Haputhale,5/14/2023,Tuber_Initiation,6.48,0.125,131.1,295.6,25.2,70.3,40.7,42.7,2,1,2,1,11,0,12.5,0
BD_WD_2024_0010,Welimada,7/18/2024,Maturation,5,0.099,132.9,177.9,21,82,60.8,22.4,1,0,2,1,0,0,0,0
BD_ME_2023_0012,Makul_Ella,4/25/2023,Germination,4.75,0.135,130.9,250.6,22.4,82.2,54.6,47.7,1,1,2,1,5.5,0,8,1000
BD_WD_2023_0011,Welimada,1/14/2024,Vegetative,7.29,0.119,100.2,208.9,17.4,79.6,57.3,38.2,1,1,2,1,11,0,0,0
BD_HN_2023_0011,Hinnarangolla,2/12/2023,Tuber_Initiation,6.12,0.055,50.6,260.4,17.1,74.5,57.1,33.3,2,1,1,1,11,0,12.5,0
BD_RK_2023_0012,Rathkarawua,1/2/2024,Vegetative,6.85,0.105,159.3,269.8,23.2,68.9,36.8,33.3,2,1,2,1,11,0,0,0
BD_BR_2023_0007,Boralanda,12/29/2023,Maturation,6.31,0.102,58.2,249.3,17.8,90.2,50.1,22.8,2,0,1,1,0,0,0,0
BD_MH_2023_0009,Mirahawatte,8/31/2023,Vegetative,6.43,0.081,76.2,393.3,18.2,74.7,58.9,41.1,2,1,1,2,11,0,0,0
BD_WD_2024_0012,Welimada,1/26/2023,Vegetative,5.65,0.135,83.7,368,16.6,87.4,59.4,34.5,2,1,1,2,11,0,0,0
BD_RK_2024_0013,Rathkarawua,11/16/2024,Vegetative,6.99,0.078,118.8,247.7,21.2,79.8,63.6,53.1,2,2,2,1,7,0,0,0
BD_OH_2023_0007,Ohiya,12/19/2024,Germination,5.56,0.171,72.6,236.3,17.9,92.1,60,48.6,1,1,1,1,5.5,4.5,8,1500
BD_HN_2023_0012,Hinnarangolla,4/26/2024,Vegetative,6.77,0.172,111.9,217.3,18.4,82.2,57,42.3,1,1,2,1,11,0,0,0
BD_BR_2024_0008,Boralanda,12/25/2023,Tuber_Initiation,5.35,0.174,111.6,238,21.6,78.6,62.3,33.3,1,1,2,1,11,0,12.5,0
BD_BR_2023_0009,Boralanda,1/25/2023,Vegetative,5.16,0.204,95,187.9,19.3,91.4,54.2,36.1,1,1,1,1,11,0,0,0
BD_HN_2024_0013,Hinnarangolla,10/13/2023,Germination,6.62,0.184,35.4,253.4,23.4,90,58.5,45.1,0,1,0,1,5.5,6.7,8,1500
BD_OH_2024_0008,Ohiya,10/18/2024,Maturation,6.73,0.04,59.5,214.5,15.4,91.1,73,33.5,1,1,1,1,0,0,0,0
BD_ME_2024_0013,Makul_Ella,1/29/2023,Germination,5.75,0.094,71.5,172.8,21.4,78.7,41.4,18.7,2,0,1,1,5.5,4.5,8,1500
BD_OH_2023_0009,Ohiya,8/17/2024,Tuber_Initiation,5.9,0.107,55.2,355.5,16.9,87.7,62,39.7,2,1,1,2,11,0,8,0
BD_HP_2023_0007,Haputhale,9/2/2024,Maturation,5.94,0.073,106.7,285.1,25.8,87.7,55.4,44,2,1,2,1,0,0,0,0
BD_RK_2024_0014,Rathkarawua,3/22/2024,Germination,6.05,0.121,90.7,341.8,20.8,78.7,59.8,43.6,2,1,1,2,5.5,4.5,5,1000
BD_HN_2023_0014,Hinnarangolla,9/18/2023,Germination,6.93,0.121,133.9,209.4,21.4,73.6,62.3,43.4,2,1,2,1,5.5,0,8,600
BD_HN_2023_0015,Hinnarangolla,6/16/2024,Vegetative,4.95,0.092,42.3,284.2,23.8,80.9,56.6,32.8,1,1,0,1,11,0,0,0
BD_RK_2024_0015,Rathkarawua,3/13/2023,Tuber_Initiation,7.21,0.121,106.7,290.4,26,83.9,60.2,34.9,1,1,2,1,11,0,12.5,0
BD_MH_2024_0010,Mirahawatte,11/10/2024,Germination,6.57,0.111,130.5,326.2,22.9,83.5,67.1,56.5,2,2,2,2,3,0,5,600
BD_OH_2024_0010,Ohiya,11/13/2024,Maturation,5.9,0.099,84.4,300.3,16.1,80.1,58,42.2,2,1,1,2,0,0,0,0
BD_RK_2024_0016,Rathkarawua,12/14/2024,Tuber_Initiation,6.53,0.093,82.8,311,25.2,70.1,71.7,53.2,2,2,1,2,5.5,0,8,0
BD_ME_2023_0014,Makul_Ella,7/16/2023,Maturation,6.15,0.154,127.3,235.2,16.5,80.1,58.1,39.8,1,1,2,1,0,0,0,0
BD_HN_2023_0016,Hinnarangolla,9/22/2024,Tuber_Initiation,5.78,0.188,85.2,149.5,23.1,72.4,54.7,32.4,1,1,1,0,11,0,12.5,0
BD_HN_2023_0017,Hinnarangolla,11/8/2023,Tuber_Initiation,6.94,0.234,78,212.2,23.4,84.5,54,25.7,1,0,1,1,16.5,0,12.5,0
BD_BR_2024_0010,Boralanda,8/16/2024,Tuber_Initiation,6.67,0.083,119.3,228.9,18.2,82.7,44.4,56.5,2,2,2,1,5.5,0,12.5,0
BD_UP_2024_0006,Uva_Paranagama,3/28/2024,Vegetative,5.46,0.228,61.1,169.1,22.9,82.3,52.6,28.6,1,0,1,1,11,0,0,0
BD_ME_2024_0015,Makul_Ella,6/23/2023,Germination,6.3,0.128,79.1,253.5,22.1,85.6,60.7,43.7,2,1,1,1,5.5,4.5,8,1000
BD_OH_2024_0011,Ohiya,4/6/2023,Vegetative,6.12,0.212,101.3,235.5,15.4,83,47.6,41.7,1,1,2,1,11,0,0,0
BD_OH_2023_0012,Ohiya,7/23/2023,Vegetative,5.56,0.168,79.6,160.4,12.1,81.1,35.5,33.5,1,1,1,1,11,0,0,0
BD_HP_2023_0008,Haputhale,9/8/2023,Maturation,6.02,0.113,59.4,246.6,18.3,79.6,58.6,51,2,2,1,1,0,0,0,0
BD_MH_2023_0011,Mirahawatte,4/11/2024,Maturation,6.09,0.089,109.9,406.1,20.6,79.3,54,46.2,2,1,2,2,0,0,0,0
BD_MH_2023_0012,Mirahawatte,12/14/2024,Maturation,6.1,0.082,103,269.9,19.6,73,57.4,55.9,2,2,2,1,0,0,0,0
BD_UP_2024_0007,Uva_Paranagama,9/7/2023,Vegetative,5.72,0.229,35,261.5,22.7,81.3,60.9,35.2,1,1,0,1,11,0,0,0
BD_HP_2023_0009,Haputhale,3/11/2024,Vegetative,6.73,0.069,124.9,393,18.5,74.9,54,45,2,1,2,2,11,0,0,0
BD_WD_2024_0013,Welimada,2/21/2023,Vegetative,5.38,0.196,64.1,270.9,17.8,91.9,63.1,55.3,1,2,1,1,7,0,0,0
BD_BW_2024_0014,Bandarawela,5/17/2023,Maturation,6.22,0.059,123,334.5,25.8,79.9,52.8,56.7,2,2,2,2,0,0,0,0
BD_ME_2024_0016,Makul_Ella,3/29/2024,Maturation,4.88,0.24,53,161.9,23.2,82.2,54.5,48.8,1,1,1,1,0,0,0,0
BD_ME_2024_0017,Makul_Ella,6/12/2023,Maturation,6.39,0.209,32.7,313.8,23.3,78.1,46.4,42,1,1,0,2,0,0,0,0
BD_UP_2024_0008,Uva_Paranagama,9/11/2023,Tuber_Initiation,5.76,0.196,47.7,105.7,22.9,76.9,30,34.2,0,1,0,0,11,0,12.5,0
BD_ME_2024_0018,Makul_Ella,10/3/2024,Vegetative,5.78,0.198,46.4,175.3,16.6,77.9,50.4,22.4,1,0,0,1,11,0,0,0
BD_OH_2024_0013,Ohiya,3/21/2023,Tuber_Initiation,4.74,0.202,87.6,227,13.3,82.5,63.5,53,1,2,1,1,5.5,0,12.5,0
BD_BR_2024_0011,Boralanda,12/10/2023,Tuber_Initiation,5.81,0.162,142.3,259.1,15.9,82.6,58.8,35,1,1,2,1,11,0,12.5,0
BD_ME_2023_0019,Makul_Ella,5/22/2023,Vegetative,6.03,0.088,59.4,233.5,16.3,77.5,33,38.8,2,1,1,1,11,0,0,0
BD_BR_2024_0012,Boralanda,12/11/2024,Vegetative,6.55,0.04,90.4,289.9,15.2,83.2,59.3,29.3,1,0,1,1,11,0,0,0
BD_BR_2023_0013,Boralanda,2/29/2024,Maturation,5.44,0.107,99.3,253.8,20.5,92.2,61.1,36.1,1,1,1,1,0,0,0,0
BD_RK_2024_0017,Rathkarawua,3/1/2024,Germination,6.26,0.088,129.1,406.1,26.4,81.8,55.4,44.4,2,1,2,2,5.5,0,5,600
BD_BR_2024_0014,Boralanda,2/3/2024,Germination,5.35,0.222,100.1,185.5,23,78.8,46,41,1,1,2,1,5.5,0,8,1000
BD_MH_2024_0013,Mirahawatte,5/3/2024,Germination,6.17,0.103,128.2,322.9,21.2,75.9,55.9,52.5,2,2,2,2,3,0,5,600
BD_RK_2024_0018,Rathkarawua,2/4/2024,Maturation,6.62,0.109,134.2,338.9,23.4,68.1,50.5,46.8,2,1,2,2,0,0,0,0
BD_ME_2023_0020,Makul_Ella,5/14/2024,Vegetative,5.34,0.098,36.8,319.7,19,78.9,50.5,22.5,1,0,0,2,11,0,0,0
BD_OH_2024_0014,Ohiya,5/12/2024,Germination,6.1,0.217,59,294.5,16.2,87.2,53.6,47.8,1,1,1,1,5.5,4.5,8,1000
BD_HN_2024_0018,Hinnarangolla,11/15/2024,Maturation,5.17,0.262,30.6,291.1,22.7,89.2,63.4,44.8,0,1,0,1,0,0,0,0
BD_WD_2024_0014,Welimada,5/11/2023,Germination,5.85,0.168,91.8,230.6,18.3,80.2,53.1,21.1,1,0,1,1,5.5,4.5,8,1500
BD_HN_2023_0019,Hinnarangolla,3/27/2023,Maturation,6.11,0.061,121.8,285.9,18,75.3,36.2,32,2,1,2,1,0,0,0,0
BD_WD_2024_0015,Welimada,7/6/2023,Germination,5.42,0.151,96.5,332.3,23.7,83.2,59.7,22.1,1,0,1,2,5.5,4.5,5,1500
BD_OH_2024_0015,Ohiya,12/2/2023,Vegetative,6.13,0.119,120.9,246.3,19.1,83.4,59.2,50.1,2,2,2,1,7,0,0,0
BD_UP_2024_0009,Uva_Paranagama,12/12/2023,Maturation,5.9,0.176,22.6,231.7,26.2,70.5,43.3,18,1,0,0,1,0,0,0,0
BD_OH_2024_0016,Ohiya,9/16/2023,Germination,5.82,0.154,117.4,206.3,13.3,91.1,46,60.2,1,2,2,1,3,0,8,1000
BD_UP_2023_0010,Uva_Paranagama,7/6/2024,Germination,5.22,0.33,66.3,235.1,24.8,74.9,38.3,23.5,0,0,1,1,5.5,4.5,8,1500
BD_RK_2023_0019,Rathkarawua,10/27/2024,Germination,5.88,0.073,161,377.1,23.6,73.5,46.1,50.4,2,2,2,2,3,0,5,600
BD_HP_2023_0010,Haputhale,9/11/2023,Vegetative,5.76,0.084,102.2,286.5,25,83,39.6,49.9,2,1,2,1,11,0,0,0
BD_HP_2023_0011,Haputhale,9/2/2023,Vegetative,5.4,0.054,129.4,359.1,23.8,79.3,73.2,53.6,2,2,2,2,7,0,0,0
BD_UP_2023_0011,Uva_Paranagama,7/31/2024,Vegetative,5.58,0.25,38,135.4,26,72,41.7,27.1,0,0,0,0,11,0,0,0
BD_UP_2024_0012,Uva_Paranagama,1/13/2024,Vegetative,6.37,0.175,70.2,130.8,26.7,75.4,60,28.6,1,0,1,0,11,0,0,0
BD_MH_2023_0014,Mirahawatte,6/17/2023,Tuber_Initiation,5.9,0.101,125.6,288.9,18.3,75.5,61.7,53.7,2,2,2,1,5.5,0,12.5,0
BD_BW_2023_0015,Bandarawela,11/16/2023,Maturation,5.89,0.105,86.7,236.6,24.1,83.4,44,65.2,2,2,1,1,0,0,0,0
BD_HN_2023_0020,Hinnarangolla,3/19/2023,Vegetative,6.15,0.163,80,220.8,20,87.8,56.1,38.8,1,1,1,1,11,0,0,0
BD_BW_2024_0016,Bandarawela,12/1/2024,Germination,6.31,0.12,128,283.3,25.6,71.9,47.2,38.5,2,1,2,1,5.5,0,8,1000
BD_MH_2023_0015,Mirahawatte,12/22/2023,Maturation,6.22,0.096,124.3,301,22.9,83.8,63.7,47.8,2,1,2,2,0,0,0,0
BD_RK_2023_0020,Rathkarawua,6/2/2024,Tuber_Initiation,6.2,0.081,87.2,267.4,22.5,74.2,52.2,52.1,2,2,1,1,5.5,0,12.5,0
BD_HP_2024_0012,Haputhale,5/16/2024,Germination,5.04,0.066,127.3,321.3,19.2,71.2,62.7,60.2,2,2,2,2,3,0,5,1000
BD_HN_2024_0021,Hinnarangolla,10/12/2024,Maturation,5.87,0.123,124.7,247.4,18,77.5,48.9,32.4,2,1,2,1,0,0,0,0
BD_WD_2024_0016,Welimada,6/30/2023,Tuber_Initiation,6.18,0.104,61.2,240.8,18.5,85.6,68.1,42.4,2,1,1,1,11,0,12.5,0
BD_MH_2024_0016,Mirahawatte,4/21/2024,Maturation,5.18,0.083,143.4,255.3,23.9,83.8,52.4,57.7,2,2,2,1,0,0,0,0
BD_MH_2024_0017,Mirahawatte,11/27/2023,Vegetative,6.19,0.09,115.6,294.3,22.3,73.9,55.5,43.6,2,1,2,1,11,0,0,0
BD_BW_2024_0017,Bandarawela,4/6/2024,Vegetative,6.19,0.061,134.5,314.8,22.6,79.7,53.5,38.5,2,1,2,2,11,0,0,0
BD_UP_2024_0013,Uva_Paranagama,12/11/2023,Germination,4.5,0.04,43.9,140.6,25.5,73.8,61.9,22.6,0,0,0,0,5.5,6.7,12.5,1500
BD_UP_2024_0014,Uva_Paranagama,7/6/2023,Maturation,6.04,0.152,42.8,277.1,24.9,66.3,56.5,30.2,1,1,0,1,0,0,0,0
BD_BR_2024_0015,Boralanda,9/22/2023,Tuber_Initiation,5.29,0.226,81.9,244.4,15.6,78.2,55.1,34.3,1,1,1,1,11,0,12.5,0
BD_OH_2024_0017,Ohiya,7/23/2024,Germination,5.19,0.107,50.9,300,12.8,89.9,53.6,33.5,2,1,1,2,5.5,4.5,5,1000
BD_ME_2023_0021,Makul_Ella,3/29/2023,Vegetative,5.53,0.206,106.4,270.4,20.9,88.2,54.8,34.8,1,1,2,1,11,0,0,0
BD_HN_2024_0022,Hinnarangolla,7/22/2024,Vegetative,6.27,0.186,145,207.8,23,86.6,74.6,52.6,1,2,2,1,7,0,0,0
