season,district,field_size_acres,potato_variety,soil_type,planned_fertilizer_kg_per_acre,seed_cost_lkr,fertilizer_cost_lkr,labor_cost_lkr,crop_quality,hands_on_money_lkr,selling_price_lkr_per_kg,actual_yield_kg_per_acre
Yala,Badulla,2.34,Granola,Sandy_Loam,1241,208764,18652,120370,High,347786,134,7019
Maha,Nuwara_Eliya,1.75,Granola,Clay_Loam,1158,211382,14710,162527,High,388619,92,7123
Maha,Badulla,0.55,Lapala,Clay_Loam,744,137513,12356,172565,Medium,322434,90,6729
Maha,Nuwara_Eliya,2.82,Granola,Sandy_Loam,1386,207002,20220,128289,Medium,355511,115,6274
Yala,Nuwara_Eliya,2.42,Granola,Sandy_Loam,1047,195370,15249,143449,Medium,354068,108,6706
Yala,Badulla,1.87,Granola,Sandy_Loam,1677,301381,21555,166565,Medium,489501,127,6613
Yala,Nuwara_Eliya,2.98,Granola,Loamy,1079,201041,19176,94328,High,314545,129,7842
Yala,Nuwara_Eliya,2.5,Lapala,Loamy,1330,246573,19324,142947,Medium,408844,124,6416
Maha,Badulla,1.25,Lapala,Sandy_Loam,941,142665,18063,124550,Medium,285278,117,6956
Maha,Badulla,0.79,Other,Sandy_Loam,1025,184193,17384,138011,Medium,339588,134,6302
Yala,Badulla,2.27,Lapala,Loamy,1119,168104,19820,134458,Low,322382,127,5734
Yala,Badulla,1.45,Granola,Sandy_Loam,1834,301358,28008,159469,Medium,488835,90,7000
Yala,Nuwara_Eliya,2.29,Granola,Clay_Loam,1236,232310,18218,110461,Medium,360989,111,6049
Maha,Nuwara_Eliya,2.78,Granola,Loamy,1373,232926,17598,172687,Medium,423211,129,6118
Maha,Badulla,1.94,Lapala,Loamy,1012,178944,19708,173301,Low,371953,112,5754
Yala,Nuwara_Eliya,2.6,Granola,Clay_Loam,1211,205341,18397,94928,High,318666,106,7046
Yala,Nuwara_Eliya,1.33,Granola,Sandy_Loam,1418,263737,20944,121225,Medium,405906,126,6702
Maha,Badulla,1.63,Granola,Loamy,660,122589,9833,142252,Medium,274674,121,6097
Yala,Badulla,0.95,Other,Loamy,1189,191109,15079,179718,Medium,385906,115,6264
Yala,Nuwara_Eliya,2.37,Granola,Clay_Loam,1085,153882,17117,140835,Medium,311834,93,6993
Maha,Nuwara_Eliya,1.84,Granola,Loamy,1090,194311,13977,120092,High,328380,93,7682
Maha,Nuwara_Eliya,2.74,Granola,Clay_Loam,1148,192388,16107,107650,Medium,316145,115,6644
Yala,Badulla,1.92,Other,Sandy_Loam,1404,247161,25893,178985,Medium,452039,120,6333
Yala,Nuwara_Eliya,2.17,Granola,Loamy,866,159892,16055,120763,Medium,296710,102,6882
Yala,Nuwara_Eliya,2.06,Granola,Sandy_Loam,1552,251123,22280,175360,Medium,448763,128,6065
Maha,Nuwara_Eliya,1.72,Other,Sandy_Loam,1127,172919,18407,147013,Low,338339,102,5172
Maha,Nuwara_Eliya,2.96,Granola,Loamy,1188,182495,14430,172286,High,369211,95,7303
Maha,Badulla,1.51,Granola,Sandy_Loam,1020,180141,14285,146978,Medium,341404,114,6949
Yala,Nuwara_Eliya,1.51,Lapala,Loamy,1018,160532,20023,106593,High,287148,94,7039
Yala,Badulla,2.59,Granola,Clay_Loam,1349,252890,20468,175867,Medium,449225,96,6428
Maha,Nuwara_Eliya,1.85,Granola,Clay_Loam,1500,273480,29462,103920,Medium,406862,121,6410
Yala,Badulla,1.38,Granola,Sandy_Loam,1011,145378,12760,90210,Low,248348,138,5790
Yala,Badulla,1.29,Lapala,Clay_Loam,1660,297971,29090,136917,Medium,463978,94,6699
Maha,Nuwara_Eliya,2.1,Lapala,Sandy_Loam,1207,223498,20728,152385,Medium,396611,92,6516
Maha,Nuwara_Eliya,2.81,Granola,Sandy_Loam,1202,223300,14750,152767,High,390817,104,7665
Maha,Badulla,2.86,Granola,Clay_Loam,1106,200679,13599,143664,Low,357942,101,5724
Maha,Badulla,2.24,Granola,Sandy_Loam,1377,197279,19997,138554,Medium,355830,129,6430
Maha,Badulla,2.71,Lapala,Loamy,1342,241478,26817,121564,Medium,389859,128,6318
Yala,Nuwara_Eliya,2.07,Other,Clay_Loam,1209,215702,18548,127922,Low,362172,126,5078
Maha,Badulla,1.39,Granola,Loamy,813,141447,11175,175496,Medium,328118,129,6260
Maha,Nuwara_Eliya,2.03,Granola,Clay_Loam,958,145217,18721,148468,Medium,312406,120,6484
Maha,Badulla,0.94,Granola,Loamy,1072,153180,21175,169540,High,343895,136,8200
Yala,Badulla,1.49,Lapala,Sandy_Loam,1437,212237,26622,110199,Medium,349058,101,6268
Yala,Nuwara_Eliya,1.95,Granola,Clay_Loam,1077,198639,21157,167591,Medium,387387,130,6760
Yala,Badulla,0.72,Granola,Loamy,1122,171652,19957,134628,Medium,326237,94,6540
Yala,Nuwara_Eliya,0.69,Other,Loamy,1705,309004,25204,151021,Low,485229,118,5664
Maha,Nuwara_Eliya,2.15,Other,Clay_Loam,1093,191732,20434,152772,Low,364938,124,5706
Yala,Badulla,2.7,Other,Loamy,1091,202309,13101,140056,Low,355466,127,5649
Maha,Nuwara_Eliya,0.71,Granola,Sandy_Loam,1327,193466,19922,90816,Medium,304204,130,6042
Maha,Nuwara_Eliya,0.55,Granola,Clay_Loam,962,170932,17614,105637,High,294183,128,7326
Yala,Nuwara_Eliya,0.67,Granola,Loamy,1120,191571,13849,168438,High,373858,138,8144
Yala,Badulla,0.83,Lapala,Loamy,1513,263511,23553,114626,Medium,401690,139,6365
Yala,Badulla,0.91,Lapala,Sandy_Loam,1186,179131,15013,151244,Low,345388,122,5778
Yala,Nuwara_Eliya,0.88,Granola,Clay_Loam,1569,250851,22269,178557,High,451677,110,7223
Maha,Badulla,1,Other,Sandy_Loam,985,165615,15535,138890,Low,320040,97,5284
Yala,Badulla,0.88,Granola,Sandy_Loam,1302,245264,17555,131588,Medium,394407,90,7000
Yala,Nuwara_Eliya,1.58,Granola,Loamy,1148,164405,19120,114209,Medium,297734,129,6733
Yala,Badulla,0.53,Granola,Loamy,1694,261863,29746,167411,Medium,459020,128,6153
Maha,Nuwara_Eliya,0.86,Granola,Sandy_Loam,1100,155010,17444,108931,High,281385,107,7362
Maha,Nuwara_Eliya,0.68,Granola,Clay_Loam,922,174141,12545,152387,Low,339073,131,5570
Yala,Badulla,2.88,Granola,Clay_Loam,978,166004,16560,145164,High,327728,104,7303
Maha,Nuwara_Eliya,2.5,Granola,Clay_Loam,1463,237907,25088,137376,Low,400371,126,5649
Yala,Badulla,2.13,Granola,Sandy_Loam,1239,193842,19528,156985,Medium,370355,133,6664
Maha,Nuwara_Eliya,1.89,Lapala,Loamy,974,169487,12250,92758,Medium,274495,102,6437
Yala,Badulla,1.54,Lapala,Sandy_Loam,1312,231918,23802,135436,Medium,391156,117,6226
Yala,Nuwara_Eliya,0.57,Granola,Sandy_Loam,1463,252733,29167,115546,Medium,397446,107,6563
Maha,Nuwara_Eliya,2.59,Granola,Sandy_Loam,1287,206261,21640,146928,Medium,374829,108,6825
Yala,Badulla,0.67,Granola,Loamy,1522,257173,26332,98573,Medium,382078,122,6737
Yala,Nuwara_Eliya,2.64,Granola,Sandy_Loam,870,147844,13200,111332,High,272376,101,7582
Maha,Badulla,1.34,Lapala,Loamy,1329,233025,17723,105085,Medium,355833,91,6971
Yala,Nuwara_Eliya,1.69,Lapala,Clay_Loam,921,155895,17449,108525,Low,281869,95,5483
Maha,Badulla,1.83,Other,Loamy,1173,218991,17042,135651,Low,371684,92,5447
Yala,Nuwara_Eliya,2.91,Granola,Clay_Loam,993,170752,18810,130926,Medium,320488,115,6438
Yala,Nuwara_Eliya,0.85,Granola,Loamy,1012,175755,19996,98451,High,294202,123,7019
Yala,Badulla,0.94,Lapala,Clay_Loam,1328,248642,23194,134745,Medium,406581,120,6541
Yala,Nuwara_Eliya,0.78,Lapala,Clay_Loam,1323,239915,22935,141946,Low,404796,107,5287
Yala,Badulla,1.52,Other,Sandy_Loam,1228,206734,21990,169066,Low,397790,110,5499
Maha,Nuwara_Eliya,2.75,Other,Loamy,1136,175902,19530,119554,Medium,314986,121,6290
Yala,Badulla,1.47,Granola,Loamy,1389,220382,19193,96587,High,336162,120,7500
Maha,Nuwara_Eliya,1.66,Granola,Clay_Loam,700,98897,10310,124217,Medium,233424,109,6615
Yala,Nuwara_Eliya,2.02,Lapala,Clay_Loam,1658,291652,32570,91640,Low,415862,99,5019
Yala,Nuwara_Eliya,2.89,Lapala,Loamy,1180,176678,15730,145561,Medium,337969,116,6842
Yala,Badulla,1.83,Granola,Loamy,918,161459,13952,177905,High,353316,131,7188
Yala,Nuwara_Eliya,2.5,Granola,Loamy,1086,201873,16720,97833,Medium,316426,130,6869
Yala,Nuwara_Eliya,0.78,Granola,Sandy_Loam,1305,216315,21856,161436,Medium,399607,122,6136
Yala,Badulla,2.76,Lapala,Sandy_Loam,1028,181542,19336,150428,Medium,351306,130,6695
Maha,Badulla,1.56,Granola,Loamy,988,181261,15593,138182,Medium,335036,98,6737
Maha,Nuwara_Eliya,1.02,Lapala,Loamy,1090,160326,15473,143734,Medium,319533,123,6398
Yala,Badulla,2.31,Granola,Loamy,1232,222912,20729,120350,High,363991,135,7723
Yala,Nuwara_Eliya,2.11,Granola,Loamy,912,155822,14171,164867,Medium,334860,123,6218
Yala,Nuwara_Eliya,2.7,Lapala,Sandy_Loam,955,149186,14004,150253,Medium,313443,139,6501
Yala,Badulla,2.33,Granola,Loamy,1311,195031,22968,108084,Medium,326083,116,6276
Yala,Badulla,2.39,Granola,Sandy_Loam,1215,218423,23592,111117,Medium,353132,109,6090
Yala,Nuwara_Eliya,2.82,Granola,Clay_Loam,1663,240230,30004,101494,High,371728,131,7006
Maha,Badulla,0.59,Granola,Loamy,1278,201932,16232,174326,Medium,392490,117,6723
Yala,Nuwara_Eliya,1.62,Lapala,Sandy_Loam,1198,227150,22536,108765,Low,358451,136,5486
Maha,Badulla,1.45,Other,Clay_Loam,1367,246465,25043,117421,Low,388929,94,5349
Maha,Badulla,2.24,Granola,Clay_Loam,1417,207769,26775,173048,Medium,407592,114,6665
Yala,Nuwara_Eliya,1.76,Granola,Loamy,1294,204939,16233,92323,High,313495,96,8131
Yala,Nuwara_Eliya,2.91,Granola,Loamy,622,90366,10652,109443,High,210461,120,7461
Maha,Badulla,0.65,Lapala,Loamy,1258,179778,25108,95200,High,300086,124,7454
Maha,Badulla,0.86,Granola,Loamy,1260,180324,20254,179702,High,380280,130,7386
Yala,Badulla,2.06,Granola,Loamy,1074,157379,20505,130480,Medium,308364,99,6856
Yala,Nuwara_Eliya,2.57,Lapala,Sandy_Loam,1194,195896,14511,113383,Low,323790,128,5525
Yala,Badulla,1.31,Lapala,Sandy_Loam,1165,174683,14582,93836,Low,283101,108,5764
Maha,Badulla,1.75,Granola,Loamy,1346,242999,22764,167360,High,433123,109,8117
Yala,Badulla,0.76,Lapala,Clay_Loam,952,171782,12005,115143,Low,298930,136,5453
Yala,Nuwara_Eliya,2.09,Lapala,Clay_Loam,1460,209265,23575,103515,Low,336355,126,5911
Yala,Nuwara_Eliya,0.6,Granola,Sandy_Loam,1512,217129,19005,91089,High,327223,137,7284
Maha,Badulla,1.24,Granola,Sandy_Loam,990,147218,12659,149427,Medium,309304,128,6320
Yala,Badulla,1.24,Lapala,Sandy_Loam,1307,207939,17834,100924,Medium,326697,120,6710
Yala,Badulla,1.83,Granola,Clay_Loam,1071,202417,18008,142418,High,362843,127,7064
Yala,Nuwara_Eliya,0.82,Granola,Clay_Loam,1385,209454,20743,128886,Medium,359083,111,6678
Yala,Nuwara_Eliya,2.82,Lapala,Loamy,957,176053,13462,138961,Low,328476,121,5965
Yala,Nuwara_Eliya,0.94,Granola,Clay_Loam,1427,266662,17616,104833,Medium,389111,96,6897
Maha,Nuwara_Eliya,1.03,Granola,Clay_Loam,1261,213761,20260,116779,Medium,350800,118,6826
Yala,Badulla,2.69,Granola,Loamy,1540,258569,28480,156754,Medium,443803,134,6664
Maha,Nuwara_Eliya,2.7,Lapala,Loamy,1351,230681,23646,123773,Medium,378100,116,6557
Maha,Nuwara_Eliya,2.6,Lapala,Loamy,1316,233560,23779,151054,High,408393,127,7177
Maha,Badulla,0.81,Granola,Sandy_Loam,1064,156292,18411,90169,Low,264872,98,5839
Yala,Nuwara_Eliya,2.49,Granola,Sandy_Loam,1334,218840,22862,95836,Medium,337538,118,6925
Yala,Nuwara_Eliya,2.01,Lapala,Clay_Loam,1355,223456,17095,95269,Medium,335820,106,6393
Yala,Badulla,2.56,Granola,Loamy,1089,159123,19475,111227,Medium,289825,108,6202
Yala,Badulla,2.42,Lapala,Loamy,1291,212767,17332,151732,Medium,381831,139,6992
Yala,Nuwara_Eliya,1.97,Granola,Loamy,983,154061,12002,92177,Medium,258240,131,6653
Yala,Badulla,1.25,Other,Loamy,1406,256027,18965,162237,Medium,437229,112,6058
Maha,Nuwara_Eliya,0.62,Other,Clay_Loam,1161,207831,13997,95155,Low,316983,101,4900
Yala,Badulla,2.81,Granola,Loamy,1377,259897,20613,128599,Medium,409109,132,6643
Yala,Badulla,2.63,Granola,Sandy_Loam,1061,178353,15668,118367,Low,312388,128,5956
Maha,Nuwara_Eliya,2.16,Other,Sandy_Loam,887,156591,17607,113087,Low,287285,122,5274
Yala,Badulla,1.27,Other,Clay_Loam,1094,163170,13320,154800,Low,331290,110,4830
Yala,Badulla,2.95,Granola,Loamy,1487,248986,25135,110353,Medium,384474,132,6987
Yala,Nuwara_Eliya,2.16,Granola,Loamy,1241,227226,19460,157435,High,404121,104,7754
Yala,Badulla,1.65,Granola,Sandy_Loam,1070,158611,15666,158107,Medium,332384,115,6197
Yala,Badulla,2.7,Other,Loamy,1040,169064,20675,159481,Low,349220,91,5295
Maha,Nuwara_Eliya,1.21,Granola,Sandy_Loam,1039,166103,13244,129696,Medium,309043,99,6160
Yala,Nuwara_Eliya,2.39,Granola,Loamy,774,133231,10500,170726,High,314457,116,7027
Yala,Nuwara_Eliya,1.29,Other,Clay_Loam,1133,169056,21699,148886,Low,339641,97,5411
Maha,Nuwara_Eliya,0.79,Lapala,Loamy,1119,211961,17772,101019,Medium,330752,126,6164
Yala,Nuwara_Eliya,2.95,Lapala,Loamy,1079,152644,20051,108877,High,281572,108,7434
Yala,Badulla,1.24,Other,Loamy,1255,223363,24980,171116,Low,419459,122,5750
Maha,Nuwara_Eliya,2.57,Granola,Loamy,1368,198403,19041,102777,High,320221,107,7033
Maha,Badulla,2.13,Lapala,Loamy,1309,238332,20643,178119,Low,437094,121,5780
Maha,Nuwara_Eliya,1.29,Granola,Sandy_Loam,1293,245136,16267,96937,High,358340,107,7547
Yala,Badulla,2.41,Granola,Sandy_Loam,998,184810,13834,162665,High,361309,92,7613
Maha,Badulla,2.69,Granola,Loamy,887,134235,13351,101596,High,249182,110,7787
Maha,Nuwara_Eliya,0.55,Granola,Loamy,914,172117,11899,153691,High,337707,138,7838
Maha,Badulla,2.6,Other,Sandy_Loam,1608,267947,27465,130485,Low,425897,100,5139
Yala,Nuwara_Eliya,1.16,Granola,Sandy_Loam,1388,214017,25811,96681,High,336509,101,7269
Yala,Nuwara_Eliya,0.66,Other,Clay_Loam,960,181873,16329,137818,Low,336020,131,5155
Yala,Badulla,1.17,Lapala,Sandy_Loam,945,163429,13247,109820,Medium,286496,114,6641
Yala,Badulla,0.58,Other,Loamy,1096,203345,17224,102377,Low,322946,107,5477
Yala,Badulla,1.61,Lapala,Sandy_Loam,1248,216929,16290,111076,High,344295,129,7075
Yala,Nuwara_Eliya,1.18,Granola,Clay_Loam,1075,198417,12925,93578,High,304920,120,7249
Maha,Nuwara_Eliya,1.67,Granola,Loamy,890,152302,14024,130272,High,296598,113,7334
Yala,Nuwara_Eliya,2.64,Granola,Clay_Loam,1103,179946,17105,109665,Low,306716,109,5577
Yala,Badulla,2.54,Granola,Clay_Loam,1355,225715,25797,141730,Medium,393242,91,6799
Maha,Badulla,0.83,Granola,Loamy,839,155534,14860,144711,High,315105,105,7833
Yala,Nuwara_Eliya,2.3,Other,Loamy,883,155300,16456,93650,Low,265406,133,5645
Yala,Nuwara_Eliya,2.5,Lapala,Loamy,1426,263832,21723,118897,Medium,404452,127,6339
Yala,Badulla,2.12,Other,Sandy_Loam,1639,270611,21488,100416,Low,392515,97,5229
Maha,Badulla,2.76,Granola,Sandy_Loam,860,141298,14291,93936,Medium,249525,96,6919
Yala,Badulla,2.54,Granola,Loamy,1070,195373,16297,96985,High,308655,117,7914
Yala,Nuwara_Eliya,2.5,Lapala,Clay_Loam,1173,182921,19539,123405,Medium,325865,120,6253
Yala,Nuwara_Eliya,1.44,Granola,Loamy,1362,200390,26042,121128,Medium,347560,97,6123
Yala,Nuwara_Eliya,2.09,Granola,Loamy,863,150037,14538,122813,High,287388,100,8185
Yala,Badulla,2.22,Granola,Loamy,1038,146749,16653,176761,Medium,340163,109,6152
Maha,Nuwara_Eliya,1.54,Granola,Loamy,1191,174484,22252,123335,High,320071,108,7084
Yala,Nuwara_Eliya,2.57,Other,Loamy,964,181286,14571,124696,Medium,320553,107,6165
Yala,Badulla,1.88,Granola,Sandy_Loam,1156,179314,16270,107516,Medium,303100,92,6478
Yala,Badulla,2.92,Granola,Loamy,1445,244238,18949,129963,High,393150,121,7116
Maha,Badulla,2.98,Other,Sandy_Loam,1592,238904,24136,93551,Low,356591,113,5874
Maha,Badulla,2.91,Other,Sandy_Loam,1425,237503,27017,101758,Low,366278,129,5147
Yala,Nuwara_Eliya,1.19,Other,Clay_Loam,1175,222133,18644,167719,Low,408496,119,5303
Maha,Badulla,1.91,Granola,Sandy_Loam,965,179428,14376,155314,Medium,349118,134,6710
Yala,Badulla,2.01,Granola,Clay_Loam,1232,176143,14815,147617,Low,338575,104,5956
Maha,Badulla,0.58,Other,Loamy,1198,211688,21684,173633,Medium,407005,91,6769
Maha,Nuwara_Eliya,2.08,Lapala,Clay_Loam,1442,239990,26456,179149,Medium,445595,100,6764
Maha,Badulla,1.35,Lapala,Loamy,1026,143930,20003,163973,High,327906,130,7260
Maha,Nuwara_Eliya,0.76,Granola,Sandy_Loam,1392,196585,20113,139421,Medium,356119,121,6957
Maha,Badulla,2.89,Granola,Loamy,974,140103,15588,161506,Medium,317197,125,6176
Maha,Nuwara_Eliya,1.51,Granola,Loamy,1374,256197,20940,171549,High,448686,106,7089
Yala,Badulla,2.1,Other,Sandy_Loam,1074,169574,18454,101062,Low,289090,134,5805
Maha,Nuwara_Eliya,2.55,Granola,Sandy_Loam,695,105454,10025,116097,Medium,231576,118,6024
Maha,Badulla,2.3,Granola,Loamy,1560,287195,29000,154954,Medium,471149,103,6931
Yala,Badulla,0.97,Lapala,Sandy_Loam,1376,232768,21652,120633,Low,375053,137,5423
Yala,Badulla,2.57,Granola,Sandy_Loam,1241,227509,20568,171647,Medium,419724,137,6641
Yala,Badulla,0.72,Lapala,Loamy,1513,265066,18208,105025,Medium,388299,125,6834
Yala,Nuwara_Eliya,2.4,Other,Sandy_Loam,934,144679,11995,160364,Low,317038,122,5013
Yala,Nuwara_Eliya,2.89,Granola,Loamy,911,144334,13627,94711,Medium,252672,128,6961
Yala,Nuwara_Eliya,2.63,Granola,Sandy_Loam,1158,189465,22049,109416,High,320930,123,7019
Maha,Badulla,0.84,Lapala,Sandy_Loam,1415,226055,25053,107929,Low,359037,134,5804
Maha,Badulla,0.65,Granola,Sandy_Loam,926,142029,17301,91322,Medium,250652,108,6468
Yala,Nuwara_Eliya,2.87,Granola,Sandy_Loam,1331,204087,23690,168988,Medium,396765,92,6591
Yala,Nuwara_Eliya,1.64,Granola,Loamy,1144,167682,21572,141781,Medium,331035,93,6888
Yala,Nuwara_Eliya,0.95,Granola,Loamy,1448,218884,24811,141358,High,385053,118,7489
Yala,Badulla,2.7,Lapala,Sandy_Loam,1035,187840,17438,116202,Low,321480,100,5553
Maha,Badulla,1.07,Granola,Loamy,1164,166326,22886,174845,High,364057,129,8192
Maha,Badulla,2.91,Granola,Loamy,1532,231744,20784,102672,High,355200,121,7742
Yala,Badulla,0.87,Lapala,Sandy_Loam,1516,231940,22378,172573,Medium,426891,104,6144
Yala,Nuwara_Eliya,0.66,Granola,Loamy,996,170859,15519,102084,High,288462,137,7203
Yala,Nuwara_Eliya,2.2,Granola,Loamy,1163,194603,17982,93950,High,306535,98,7023
Yala,Badulla,0.62,Lapala,Clay_Loam,1474,264814,27755,111777,Low,404346,138,5354
Maha,Nuwara_Eliya,2.99,Lapala,Clay_Loam,880,142427,14738,96577,Medium,253742,121,6740
Yala,Nuwara_Eliya,2.48,Other,Clay_Loam,1292,242904,20893,177957,Low,441754,127,4950
Yala,Badulla,1.08,Granola,Sandy_Loam,1261,229212,23045,123928,High,376185,117,7421
Yala,Nuwara_Eliya,2.52,Granola,Sandy_Loam,1410,254383,19783,112122,High,386288,110,7605
Yala,Nuwara_Eliya,2.75,Granola,Clay_Loam,1198,198431,18991,147189,Low,364611,94,5554
Maha,Badulla,1.61,Granola,Sandy_Loam,1323,250870,19964,141645,High,412479,110,7508
Yala,Nuwara_Eliya,2.69,Other,Loamy,1297,196410,25486,103336,Low,325232,123,5587
Yala,Badulla,2.3,Granola,Loamy,1331,208057,24912,102943,High,335912,111,8004
Maha,Nuwara_Eliya,1.5,Lapala,Clay_Loam,1222,183572,17159,116612,Low,317343,119,5064
Yala,Badulla,0.67,Other,Sandy_Loam,1396,224016,25807,165224,Medium,415047,106,6136
